,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
20233,3066,9790,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",125,3,URI_41,Wednesday,10.0,180.0,5.0,Fulltext
20261,3066,9798,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",304,2,URI_0,Wednesday,10.0,960.0,7.0,
20326,3075,9829,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",156,5,URI_0,Wednesday,11.0,360.0,6.0,
20328,3066,9829,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",143,4,URI_0,Wednesday,11.0,360.0,6.0,
20694,3075,9964,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Wednesday,14.0,120.0,3.0,
21291,3066,10235,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_38,Thursday,6.0,840.0,6.0,Fulltext
21391,3075,10274,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Thursday,9.0,120.0,4.0,
21899,3066,10464,DISCOUNT,Info,4,Sales,8,In general,1000,"(447.6, 499.8]",812,2,URI_42,Thursday,14.0,780.0,6.0,Fulltext
22054,3075,10521,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_9,Thursday,16.0,60.0,2.0,Catalogue
22135,3075,10555,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_80,Thursday,18.0,120.0,5.0,Fulltext
22182,3075,10584,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_0,Thursday,20.0,1080.0,6.0,
22422,3066,10682,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",167,6,URI_131,Friday,9.0,660.0,12.0,Partners
22433,3066,10685,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Friday,9.0,240.0,4.0,
22436,3066,10687,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_111,Friday,10.0,60.0,2.0,
22540,3066,10721,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",104,12,URI_0,Friday,11.0,780.0,12.0,
22578,3066,10733,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",125,3,URI_68,Friday,11.0,600.0,12.0,Partners
22630,3075,10755,WHOWEARE,Info,4,Who we are,10,In general,1000,"(238.8, 291.0]",406,2,URI_0,Friday,12.0,240.0,4.0,
22631,3075,10755,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Friday,12.0,240.0,4.0,
22867,3066,10864,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",213,13,URI_39,Friday,20.0,600.0,15.0,Fulltext
22982,3066,10895,DISCOUNT,Info,4,Sales,8,In general,1000,"(343.2, 395.4]",939,5,URI_70,Saturday,8.0,2280.0,16.0,Other
23028,3075,10916,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",203,2,URI_111,Saturday,11.0,420.0,6.0,
23092,3075,10936,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Saturday,12.0,120.0,3.0,
